"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node25-018.cm.cluster",,,,"User:","machajewskim"
"Cmdline:","dstat --all --full -D total --output 1680366979158248026myfile.csv",,,,"Date:","01 Apr 2023 18:36:19 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"net/ib0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"system"
0,0.100,52.439,47.461,0,0,0,131372,123034768,0,0,0,0,24142688256,64491585536,45908692992,109635776512,7105,5897,0,20,3,6.750,7.770,6.420,Apr-01 18:36:48
0,0.100,51.689,48.211,0,0,0,133926,123028412,56,0,0,0,24142475264,64491798528,45908692992,109635989504,7230,5901,1,21,3,6.750,7.770,6.420,Apr-01 18:36:49
0,0.100,49.925,49.975,0,0,0,131468,123034768,56,0,0,0,24142082048,64492191744,45908692992,109636382720,7116,5691,0,21,0,6.750,7.770,6.420,Apr-01 18:36:50
0,0.125,49.912,49.962,0,0,0,129380,123097998,56,0,0,0,24141815808,64492457984,45908692992,109636648960,7087,5940,0,21,3,6.750,7.770,6.420,Apr-01 18:36:51
0.025,0.100,49.925,49.950,0,0,0,130972,123010174,56,0,0,0,24141914112,64492359680,45908692992,109636550656,7076,5822,0,21,3,6.750,7.770,6.420,Apr-01 18:36:52
0,0.100,52.251,47.649,0,0,0,132810,123080130,56,0,0,0,24141103104,64493170688,45908692992,109637361664,7208,5949,0,20,4,7.890,7.990,6.500,Apr-01 18:36:53
0,0.075,52.452,47.472,0,0,0,128256,123015464,56,0,0,0,24140742656,64493531136,45908692992,109637722112,7072,5939,0,20,3,7.890,7.990,6.500,Apr-01 18:36:54
0,0.100,52.426,47.474,0,0,0,133772,123039062,56,0,0,0,24140742656,64493531136,45908692992,109637722112,7094,5911,0,20,0,7.890,7.990,6.500,Apr-01 18:36:55
0,0.125,52.401,47.474,0,0,0,133682,123090102,56,0,0,0,24140025856,64494231552,45908709376,109638422528,7137,6074,0,20,3,7.890,7.990,6.500,Apr-01 18:36:56
0,0.125,52.414,47.461,0,0,0,128866,123034768,56,0,0,0,24139685888,64494571520,45908709376,109638766592,7255,6250,0,20,3,7.890,7.990,6.500,Apr-01 18:36:57
0,0.100,52.427,47.472,0,0,0,130956,123017802,0,0,0,0,24139608064,64494649344,45908709376,109638844416,7386,5786,0,20,3,8.940,8.210,6.580,Apr-01 18:36:58
0,0.125,52.414,47.461,0,0,0,129956,123070864,328,0,0,0,24139063296,64495190016,45908713472,109639389184,7381,6060,0,20,3,8.940,8.210,6.580,Apr-01 18:36:59
0.025,0.125,52.401,47.449,0,0,0,129238,123034768,0,0,0,0,24138735616,64495517696,45908713472,109639716864,7404,6153,0,20,0,8.940,8.210,6.580,Apr-01 18:37:00
0,0.100,52.426,47.474,0,0,0,126812,123026180,0,0,0,0,24138014720,64496238592,45908713472,109640437760,7118,6108,0,20,3,8.940,8.210,6.580,Apr-01 18:37:01
0,0.100,52.427,47.472,0,0,0,126754,123030474,0,0,0,0,24137867264,64496386048,45908713472,109640585216,7065,6130,0,20,3,8.940,8.210,6.580,Apr-01 18:37:02
0,0.100,52.427,47.472,0,0,0,130088,123081646,0,0,0,0,24137588736,64496664576,45908713472,109640863744,7069,5671,0,20,3,10.310,8.500,6.680,Apr-01 18:37:03
0,0.100,52.414,47.486,0,0,0,127632,123080138,0,0,0,0,24136998912,64497254400,45908713472,109641453568,7063,5895,0,20,3,10.310,8.500,6.680,Apr-01 18:37:04
0,0.125,52.414,47.461,0,0,0,126958,123039194,0,0,0,0,24136867840,64497385472,45908713472,109641584640,7114,6178,0,20,0,10.310,8.500,6.680,Apr-01 18:37:05
0,0.150,52.401,47.449,0,0,90112,126950,123009642,0,0,0,0,24136593408,64497659904,45908713472,109641859072,7083,5929,1,20,3,10.310,8.500,6.680,Apr-01 18:37:06
0.025,0.100,52.414,47.461,0,0,69632,127610,123034768,0,0,0,0,24135561216,64498692096,45908713472,109642891264,7131,6185,0,20,3,10.310,8.500,6.680,Apr-01 18:37:07
0,0.100,53.265,46.635,0,0,0,122264,123092248,0,0,0,0,24135561216,64498692096,45908713472,109642891264,7004,5768,3,20,3,11.240,8.730,6.770,Apr-01 18:37:08
0,0.100,54.930,44.970,0,0,0,125886,123009156,0,0,0,0,24135430144,64498823168,45908713472,109643022336,7151,6089,0,20,3,11.240,8.730,6.770,Apr-01 18:37:09
0,0.125,50.163,49.712,0,0,98304,125190,123022096,0,0,0,0,24134922240,64499331072,45908713472,109643530240,7071,6223,0,25,0,11.240,8.730,6.770,Apr-01 18:37:10
0,0.125,47.424,52.451,0,0,0,131018,123034768,0,0,0,0,24134873088,64499380224,45908713472,109643579392,7128,6123,0,25,3,11.240,8.730,6.770,Apr-01 18:37:11
0,0.075,47.685,52.240,0,0,0,125374,123070444,0,0,0,0,24134873088,64499380224,45908713472,109643579392,7029,6296,0,23,3,11.240,8.730,6.770,Apr-01 18:37:12
0,0.125,52.765,47.110,0,0,0,131484,123060054,0,0,0,0,24133435392,64500817920,45908713472,109645017088,7260,5982,2,20,3,12.430,9.020,6.870,Apr-01 18:37:13
0,0.125,54.927,44.947,0,0,0,129574,123021886,0,0,0,0,24133435392,64500817920,45908713472,109645017088,7168,5975,0,20,3,12.430,9.020,6.870,Apr-01 18:37:14
0.025,0.125,54.891,44.959,0,0,0,129900,123094310,0,0,0,0,24133140480,64501112832,45908713472,109645312000,7186,6264,0,20,0,12.430,9.020,6.870,Apr-01 18:37:15
0,0.100,54.930,44.970,0,0,0,135164,123001178,328,0,0,0,24132829184,64501424128,45908713472,109645623296,7216,6142,0,20,3,12.430,9.020,6.870,Apr-01 18:37:16
0,0.125,54.916,44.959,0,0,0,128774,123090324,0,0,0,0,24132435968,64501796864,45908733952,109646012416,7200,6377,0,20,3,12.430,9.020,6.870,Apr-01 18:37:17
0,0.125,54.902,44.972,0,0,0,130926,123020134,0,0,0,0,24132435968,64501796864,45908733952,109646012416,7127,5943,0,20,3,13.110,9.210,6.950,Apr-01 18:37:18
0,0.125,54.916,44.959,0,0,0,130154,123072992,0,0,0,0,24132026368,64502206464,45908733952,109646422016,7149,5837,0,20,3,13.110,9.210,6.950,Apr-01 18:37:19
0.200,0.350,54.666,44.784,0,0,0,125900,123021886,0,0,0,0,24129835008,64504397824,45908733952,109648613376,9812,11000,0,20,0,13.110,9.210,6.950,Apr-01 18:37:20
0,0.150,54.902,44.947,0,0,0,131580,123034768,0,0,0,0,24132263936,64501968896,45908733952,109646204928,7208,6118,0,20,3,13.110,9.210,6.950,Apr-01 18:37:21
0.025,0.100,54.916,44.959,0,0,0,131772,123077974,0,0,0,0,24132038656,64502194176,45908733952,109646430208,7144,6195,0,20,3,13.110,9.210,6.950,Apr-01 18:37:22
0,0.100,54.919,44.981,0,0,0,127506,122998984,0,0,0,0,24131842048,64502390784,45908733952,109646626816,7119,6250,0,20,3,13.820,9.430,7.030,Apr-01 18:37:23
0,0.125,54.916,44.959,0,0,0,130210,123030712,0,228,0,0,24131842048,64502390784,45908733952,109646626816,7114,5834,0,20,3,13.820,9.430,7.030,Apr-01 18:37:24
0,0.075,54.930,44.995,0,0,0,127514,123098646,0,0,0,0,24131284992,64502947840,45908733952,109647183872,7189,6254,0,20,0,13.820,9.430,7.030,Apr-01 18:37:25
0,0.150,54.902,44.947,0,0,0,130982,123026398,0,0,0,0,24130744320,64503488512,45908733952,109647724544,7157,6276,1,20,3,13.820,9.430,7.030,Apr-01 18:37:26
0.075,0.100,54.891,44.934,0,0,0,127780,123028034,0,0,0,0,24129978368,64504254464,45908733952,109648490496,7404,6541,0,20,3,13.820,9.430,7.030,Apr-01 18:37:27
0,0.125,53.091,46.783,0,0,0,114856,123028742,0,0,0,0,24127479808,64506753024,45908733952,109650989056,7196,8734,0,20,3,14.400,9.620,7.100,Apr-01 18:37:28
0,0.150,52.377,47.472,0,0,0,111162,123090226,0,0,0,0,24123138048,64511094784,45908733952,109655330816,7140,8976,0,20,3,14.400,9.620,7.100,Apr-01 18:37:29
0,0.175,52.364,47.461,0,0,0,111814,123034768,0,0,0,0,24120098816,64514134016,45908733952,109658370048,7132,9132,0,20,0,14.400,9.620,7.100,Apr-01 18:37:30
0.025,0.125,52.390,47.459,0,0,0,104392,123090016,0,0,0,0,24115363840,64518868992,45908733952,109663105024,7001,9357,0,20,3,14.400,9.620,7.100,Apr-01 18:37:31
0.025,0.150,52.352,47.472,0,0,0,106770,123026114,0,0,0,0,24111341568,64522891264,45908733952,109667127296,7063,9281,0,20,3,14.400,9.620,7.100,Apr-01 18:37:32
0,0.150,52.365,47.484,0,0,0,112264,123011454,0,0,0,0,24107769856,64526462976,45908733952,109670699008,7135,9687,0,20,3,15.330,9.890,7.200,Apr-01 18:37:33
0,0.150,52.365,47.484,0,0,0,106166,123065600,0,0,0,0,24103137280,64531095552,45908733952,109675331584,6995,8811,0,20,3,15.330,9.890,7.200,Apr-01 18:37:34
0,0.200,52.351,47.449,0,0,0,110240,123017868,0,0,0,0,24099344384,64534888448,45908733952,109679124480,7093,9009,0,20,0,15.330,9.890,7.200,Apr-01 18:37:35
0.025,0.175,52.352,47.447,0,0,155648,112426,123055882,0,0,0,0,24095825920,64538386432,45908754432,109682634752,7112,9489,0,20,3,15.330,9.890,7.200,Apr-01 18:37:36
0,0.150,52.377,47.472,0,0,8192,129762,123079366,0,0,0,0,24091283456,64542928896,45908754432,109687177216,7459,9424,0,20,3,15.330,9.890,7.200,Apr-01 18:37:37
0,0.150,52.354,47.496,0,0,0,105460,123034768,0,0,0,0,24087777280,64546435072,45908754432,109690683392,6936,9307,0,20,3,15.780,10.080,7.280,Apr-01 18:37:38
0,0.175,52.352,47.472,0,0,0,109006,123013934,0,0,0,0,24083591168,64550621184,45908754432,109694869504,7038,9089,0,20,3,15.780,10.080,7.280,Apr-01 18:37:39
0,0.175,46.658,53.166,0,0,0,109222,123098694,328,0,0,0,24079585280,64554627072,45908754432,109698875392,7005,9082,0,25,0,15.780,10.080,7.280,Apr-01 18:37:40
0,0.175,44.845,54.980,0,0,86016,108810,123026180,0,0,0,0,24075374592,64558837760,45908754432,109703086080,7222,9514,0,25,3,15.780,10.080,7.280,Apr-01 18:37:41
0,0.150,44.856,54.994,0,0,0,109594,123020370,0,0,0,0,24071516160,64562696192,45908754432,109706944512,7545,8765,0,25,3,15.780,10.080,7.280,Apr-01 18:37:42
0,0.175,48.999,50.826,0,0,0,114596,123058364,0,0,0,0,24067874816,64566337536,45908754432,109710585856,7584,9680,0,25,3,16.600,10.340,7.380,Apr-01 18:37:43
0.025,0.325,50.763,48.887,0,0,0,111698,123077740,328,0,0,0,24064122880,64570089472,45908754432,109714337792,7173,9348,0,25,3,16.600,10.340,7.380,Apr-01 18:37:44
0,0.150,52.379,47.471,0,0,12288,107890,123021820,0,0,0,0,24059322368,64574889984,45908754432,109719138304,7072,9006,0,25,0,16.600,10.340,7.380,Apr-01 18:37:45
0,0.200,52.351,47.449,0,0,0,115688,122995020,0,0,0,0,24054820864,64579391488,45908754432,109723639808,7209,10267,0,25,4,16.600,10.340,7.380,Apr-01 18:37:46
0,0.275,52.252,47.472,0,0,0,110106,123098958,0,0,0,0,24035028992,64599183360,45908754432,109743431680,7140,9386,0,25,3,16.600,10.340,7.380,Apr-01 18:37:47
0,0.476,49.562,49.962,0,0,0,111358,123029540,0,0,0,0,23988555776,64645656576,45908754432,109789904896,7248,9458,1,25,3,17.430,10.620,7.480,Apr-01 18:37:48
0.025,0.451,49.587,49.937,0,0,0,110952,123081692,328,0,0,0,23942148096,64692064256,45908754432,109836312576,7283,9484,0,25,3,17.430,10.620,7.480,Apr-01 18:37:49
0,0.600,49.475,49.925,0,0,0,112176,123066778,0,0,0,0,23887060992,64747151360,45908754432,109891407872,7195,8974,0,25,0,17.430,10.620,7.480,Apr-01 18:37:50
0,0.300,49.762,49.937,0,0,0,110952,123031208,0,0,0,0,23865561088,64768651264,45908754432,109912907776,7168,9224,0,25,3,17.430,10.620,7.480,Apr-01 18:37:51
0.025,0.175,49.987,49.812,0,0,0,112736,123013788,0,0,0,0,23861678080,64772534272,45908754432,109916790784,7059,9467,0,23,3,17.430,10.620,7.480,Apr-01 18:37:52
0,0.150,53.904,45.946,0,0,0,108116,123055664,0,0,0,0,23857491968,64776720384,45908754432,109920976896,7086,9078,0,20,3,18.120,10.870,7.580,Apr-01 18:37:53
0,0.150,54.905,44.945,0,0,0,113912,123036082,0,0,0,0,23853506560,64780705792,45908754432,109924962304,7063,9134,1,20,3,18.120,10.870,7.580,Apr-01 18:37:54
0,0.150,54.916,44.934,0,0,0,113590,123036148,328,0,0,0,23849639936,64784572416,45908754432,109928828928,6985,8972,0,20,0,18.120,10.870,7.580,Apr-01 18:37:55
0,0.125,54.919,44.956,0,0,0,107672,123020174,0,0,0,0,23845650432,64788561920,45908754432,109932818432,6964,9224,0,20,3,18.120,10.870,7.580,Apr-01 18:37:56
0,0.150,54.905,44.945,0,0,0,110718,123027100,0,0,0,0,23841267712,64792944640,45908754432,109937201152,7098,9305,0,20,3,18.120,10.870,7.580,Apr-01 18:37:57
0,0.150,54.630,45.220,0,0,0,111558,123085106,0,0,0,0,23836975104,64797237248,45908754432,109941493760,7061,9241,0,20,3,18.750,11.120,7.680,Apr-01 18:37:58
0.025,0.175,52.364,47.436,0,0,0,112480,123063312,0,0,0,0,23832936448,64801275904,45908754432,109945532416,7090,8991,0,20,3,18.750,11.120,7.680,Apr-01 18:37:59
0.751,0.300,51.589,47.359,0,0,0,115862,123025106,0,0,0,0,23830835200,64803377152,45908754432,109947633664,7825,9557,0,20,10,18.750,11.120,7.680,Apr-01 18:38:00
0,0.150,54.279,45.571,0,0,0,114076,123035858,0,0,0,0,23827906560,64806305792,45908754432,109950562304,7140,8941,0,20,3,18.750,11.120,7.680,Apr-01 18:38:01
0,0.150,54.894,44.956,0,0,0,109116,123085524,0,0,0,0,23824400384,64809811968,45908754432,109954068480,6997,9151,0,20,3,18.750,11.120,7.680,Apr-01 18:38:02
0,0.125,54.907,44.967,0,0,0,110368,123006334,0,0,0,0,23820115968,64814096384,45908754432,109958352896,6991,9385,0,20,3,19.250,11.350,7.780,Apr-01 18:38:03
0.025,0.175,54.869,44.931,0,0,0,109076,123058044,0,0,0,0,23815749632,64818462720,45908754432,109962719232,6989,9013,0,20,3,19.250,11.350,7.780,Apr-01 18:38:04
0,0.225,54.819,44.956,0,0,8192,110366,123032308,0,0,0,0,23812452352,64821760000,45908754432,109966016512,7116,9371,0,20,1,19.250,11.350,7.780,Apr-01 18:38:05
0.025,0.150,54.880,44.945,0,0,8192,107288,123027794,328,0,0,0,23808258048,64825954304,45908754432,109970210816,7001,8746,0,20,4,19.250,11.350,7.780,Apr-01 18:38:06
0,0.175,54.880,44.945,0,0,8192,109704,123097922,0,0,0,0,23805104128,64829108224,45908754432,109973364736,7043,8580,0,20,3,19.250,11.350,7.780,Apr-01 18:38:07
0,0.150,54.907,44.942,0,0,0,107978,123023214,0,0,0,0,23801155584,64833056768,45908754432,109977313280,7016,9177,0,20,3,19.310,11.500,7.840,Apr-01 18:38:08
0,0.200,53.740,46.060,0,0,0,113292,123019470,0,0,0,0,23796936704,64837275648,45908754432,109981532160,7140,9059,0,22,3,19.310,11.500,7.840,Apr-01 18:38:09
0,0.150,49.424,50.426,0,0,0,110870,123091554,0,0,0,0,23792807936,64841404416,45908754432,109985660928,7098,8958,0,22,0,19.310,11.500,7.840,Apr-01 18:38:10
0,0.175,54.507,45.318,0,0,49152,109336,123071850,0,0,0,0,23788564480,64816734208,45937668096,109989228544,7071,8933,3,18,3,19.310,11.500,7.840,Apr-01 18:38:11
0.025,6.258,77.272,16.446,0,0,0,122340,123028980,0,0,0,0,23895543808,61269372928,49371136000,109882126336,10996,16526,3,4,3,19.310,11.500,7.840,Apr-01 18:38:12
0,2.578,81.026,16.395,0,0,0,114328,123099810,0,0,0,0,23929950208,60154515456,50448703488,109847740416,9405,11952,1,8,3,19.450,11.650,7.910,Apr-01 18:38:13
0.025,1.727,77.747,20.501,0,0,0,110696,122958060,0,0,0,0,23953207296,59322998784,51254734848,109825048576,9031,12584,1,10,3,19.450,11.650,7.910,Apr-01 18:38:14
0.050,0.776,74.831,24.343,0,0,0,117322,123024856,0,0,0,0,23960113152,59032596480,51537510400,109818355712,9235,12048,0,11,0,19.450,11.650,7.910,Apr-01 18:38:15
0,1.026,73.016,25.957,0,0,0,107472,123088868,0,0,0,0,23972503552,58507608064,52049059840,109805891584,9300,12047,0,12,4,19.450,11.650,7.910,Apr-01 18:38:16
0,0.676,71.840,27.484,0,0,0,113130,123013872,0,0,0,0,23980871680,58081808384,52465868800,109797261312,8687,10843,1,12,3,19.450,11.650,7.910,Apr-01 18:38:17
0.025,0.475,69.895,29.605,0,0,0,111628,123028512,0,0,0,0,23981101056,57985871872,52560920576,109797367808,7347,10555,0,13,3,19.570,11.810,7.980,Apr-01 18:38:18
0,1.202,68.611,30.188,0,0,0,109424,123020096,0,0,0,0,23994011648,57460363264,53072470016,109784383488,8707,11355,0,14,3,19.570,11.810,7.980,Apr-01 18:38:19
0.100,0.275,67.242,32.382,0,0,0,113974,123100476,328,0,0,0,23991795712,57462288384,53072629760,109786669056,8984,11867,0,14,0,19.570,11.810,7.980,Apr-01 18:38:20
0,1.176,65.732,33.091,0,0,0,108050,123019932,0,0,0,0,24006619136,56934850560,53584195584,109771771904,8917,12349,3,15,3,19.570,11.810,7.980,Apr-01 18:38:21
0.050,0.150,64.831,34.969,0,0,0,113290,123086210,0,0,0,0,23999963136,56941219840,53584351232,109778501632,7838,12355,0,15,3,19.570,11.810,7.980,Apr-01 18:38:22
0.025,1.151,63.204,35.620,0,0,0,113582,123011114,0,0,0,0,24011116544,56417468416,54095900672,109767274496,8885,11762,0,16,3,19.840,11.990,8.060,Apr-01 18:38:23
0.025,0.150,62.372,37.453,0,0,0,116536,123029970,0,0,0,0,24008011776,56420319232,54096056320,109770452992,8638,10056,0,16,3,19.840,11.990,8.060,Apr-01 18:38:24
0,1.051,61.477,37.472,0,0,0,111282,123092356,0,0,0,0,24020590592,55895142400,54607605760,109757800448,9111,11357,1,16,0,19.840,11.990,8.060,Apr-01 18:38:25
0,0.175,59.915,39.910,0,0,0,108794,123036082,0,0,0,0,24017231872,55898214400,54607761408,109761232896,7763,9691,0,17,3,19.840,11.990,8.060,Apr-01 18:38:26
0,0.125,59.900,39.975,0,0,0,114882,123017588,0,0,0,0,24013807616,55901638656,54607761408,109764657152,7146,8513,0,17,3,19.840,11.990,8.060,Apr-01 18:38:27
0,1.076,57.997,40.926,0,0,0,113010,123091756,0,0,0,0,24026517504,55376044032,55119466496,109751947264,7732,9739,0,18,3,19.840,11.990,8.060,Apr-01 18:38:28
0,0.150,57.382,42.467,0,0,0,112270,123023582,0,228,0,0,24022953984,55379607552,55119466496,109755510784,7130,8499,0,18,3,20.180,12.190,8.150,Apr-01 18:38:29
0,0.951,55.831,43.218,0,0,0,107960,123015256,0,0,0,0,24034471936,54855491584,55631015936,109743919104,7664,8715,1,18,0,20.180,12.190,8.150,Apr-01 18:38:30
0.025,0.225,52.390,47.359,0,0,0,112132,123100588,0,0,0,0,24032002048,54857674752,55631171584,109746462720,7125,9294,0,19,3,20.180,12.190,8.150,Apr-01 18:38:31
0.025,0.125,52.402,47.447,0,0,0,108260,123021072,0,0,0,0,24028225536,54861451264,55631171584,109750239232,7012,8617,0,19,3,20.180,12.190,8.150,Apr-01 18:38:32
0,1.001,52.390,46.608,0,0,0,108998,123091830,0,0,0,0,24040120320,54336958464,56142721024,109738270720,7899,9716,0,20,3,20.180,12.190,8.150,Apr-01 18:38:33
0,0.125,52.404,47.471,0,0,0,109322,122963658,0,0,0,0,24036601856,54340222976,56142876672,109741862912,6995,8887,0,20,3,20.240,12.340,8.220,Apr-01 18:38:34
0,0.150,52.402,47.447,0,0,16384,113052,123036016,328,0,0,0,24033595392,54343229440,56142876672,109744869376,7033,8782,0,20,0,20.240,12.340,8.220,Apr-01 18:38:35
0,0.150,52.389,47.461,0,0,8192,106686,123091474,0,0,0,0,24029196288,54347628544,56142876672,109749268480,6977,8936,0,20,3,20.240,12.340,8.220,Apr-01 18:38:36
0,0.175,52.377,47.447,0,0,0,102904,123029332,0,0,0,0,24025772032,54351052800,56142876672,109752692736,6978,8671,0,20,3,20.240,12.340,8.220,Apr-01 18:38:37
0.025,0.125,52.389,47.461,0,0,0,110164,123036082,0,0,0,0,24022372352,54354452480,56142876672,109756092416,7062,8825,0,20,3,20.240,12.340,8.220,Apr-01 18:38:38
0,0.150,52.402,47.447,0,0,0,112143,123024008,0,0,0,0,24018825216,54357999616,56142876672,109759639552,7066,8904,0,20,3,20.300,12.480,8.290,Apr-01 18:38:39
0,0.125,48.235,51.640,0,0,0,104596,123094244,0,0,0,0,24014622720,54362202112,56142876672,109763842048,6901,8356,0,25,0,20.300,12.480,8.290,Apr-01 18:38:40
0,0.125,47.409,52.466,0,0,65536,108916,123029868,0,0,0,0,24011223040,54365601792,56142876672,109767241728,7099,9025,0,25,3,20.300,12.480,8.290,Apr-01 18:38:41
0,0.100,47.409,52.491,0,0,0,108820,123071814,0,0,0,0,24007553024,54369271808,56142876672,109770911744,6975,8608,0,25,3,20.300,12.480,8.290,Apr-01 18:38:42
0,0.125,47.409,52.466,0,0,0,109096,123011918,0,0,0,0,24003198976,54373609472,56142893056,109775269888,6967,8810,0,25,3,20.300,12.480,8.290,Apr-01 18:38:43
0,0.150,47.386,52.464,0,0,0,105670,123021746,0,0,0,0,23998676992,54378127360,56142897152,109779791872,6975,8850,0,25,3,20.760,12.710,8.380,Apr-01 18:38:44
0.025,0.150,48.011,51.814,0,0,0,112846,123057330,0,0,0,0,23995457536,54381346816,56142897152,109783011328,7131,8553,0,23,0,20.760,12.710,8.380,Apr-01 18:38:45
0,0.125,52.240,47.635,0,0,0,108034,123063796,0,0,0,0,23991324672,54385479680,56142897152,109787144192,6970,8981,0,20,4,20.760,12.710,8.380,Apr-01 18:38:46
